Isolate,Encapsulation,Resistance
6755_3#12,Encapsulated,Susceptible
6805_7#7,Encapsulated,Non-susceptible
6840_3#5,Unencapsulated,Non-susceptible
6680_6#2,Encapsulated,Susceptible
7038_4#5,Encapsulated,Susceptible
6731_1#8,Encapsulated,Non-susceptible
6630_1#20,Unencapsulated,Non-susceptible
7038_8#29,Encapsulated,Non-susceptible
6899_6#19,Encapsulated,Susceptible
6925_7#7,Encapsulated,Susceptible
6949_4#3,Encapsulated,Non-susceptible
6830_3#21,Unencapsulated,Susceptible
6823_7#20,Encapsulated,Non-susceptible
6823_4#8,Encapsulated,Susceptible
6593_5#10,Unencapsulated,Susceptible
6736_4#14,Encapsulated,Non-susceptible
6983_3#58,Encapsulated,Susceptible
6259_8#18,Unencapsulated,Susceptible
6871_1#7,Encapsulated,Non-susceptible
6840_1#6,Encapsulated,Susceptible
6840_3#15,Encapsulated,Non-susceptible
6807_3#19,Encapsulated,Non-susceptible
6949_3#24,Encapsulated,Susceptible
6899_4#12,Encapsulated,Susceptible
6840_1#8,Encapsulated,Non-susceptible
7054_5#5,Encapsulated,Non-susceptible
6983_6#38,Encapsulated,Non-susceptible
6259_7#9,Encapsulated,Susceptible
6899_5#20,Encapsulated,Susceptible
6753_4#11,Encapsulated,Non-susceptible
6871_1#9,Encapsulated,Susceptible
6755_4#8,Encapsulated,Non-susceptible
6949_1#10,Encapsulated,Susceptible
7038_6#16,Encapsulated,Susceptible
6730_8#15,Encapsulated,Non-susceptible
7038_7#19,Encapsulated,Susceptible
6631_5#12,Encapsulated,Susceptible
6753_2#6,Unencapsulated,Non-susceptible
6938_8#13,Unencapsulated,Non-susceptible
6983_2#4,Encapsulated,Non-susceptible
6753_2#7,Encapsulated,Susceptible
6710_8#22,Encapsulated,Non-susceptible
7011_5#14,Encapsulated,Susceptible
6731_6#22,Encapsulated,Susceptible
7054_4#1,Encapsulated,Non-susceptible
6664_1#8,Encapsulated,Susceptible
6925_4#22,Encapsulated,Susceptible
6823_4#6,Encapsulated,Susceptible
6730_8#14,Encapsulated,Susceptible
6730_7#2,Encapsulated,Non-susceptible
6731_5#6,Encapsulated,Susceptible
6823_2#17,Encapsulated,Non-susceptible
6680_8#6,Encapsulated,Non-susceptible
6823_2#10,Encapsulated,Non-susceptible
6983_4#80,Encapsulated,Susceptible
6938_7#13,Encapsulated,Susceptible
6925_3#24,Encapsulated,Non-susceptible
6805_2#6,Encapsulated,Susceptible
6938_7#15,Encapsulated,Non-susceptible
6949_2#20,Encapsulated,Non-susceptible
6755_6#22,Encapsulated,Susceptible
6938_8#3,Encapsulated,Susceptible
6949_1#13,Encapsulated,Non-susceptible
6664_1#7,Encapsulated,Non-susceptible
6710_6#8,Encapsulated,Susceptible
6630_2#20,Unencapsulated,Non-susceptible
7054_6#3,Encapsulated,Susceptible
6730_5#18,Encapsulated,Non-susceptible
6983_2#11,Unencapsulated,Susceptible
6631_4#12,Encapsulated,Non-susceptible
6710_7#5,Encapsulated,Susceptible
6938_6#24,Encapsulated,Non-susceptible
6972_2#10,Unencapsulated,Non-susceptible
6805_4#9,Unencapsulated,Non-susceptible
7038_7#9,Encapsulated,Susceptible
7054_6#14,Encapsulated,Susceptible
6641_6#1,Encapsulated,Susceptible
6259_5#1,Unencapsulated,Susceptible
6631_6#20,Encapsulated,Susceptible
6730_6#2,Encapsulated,Susceptible
7004_7#57,Encapsulated,Non-susceptible
6641_6#17,Unencapsulated,Non-susceptible
6755_5#24,Encapsulated,Non-susceptible
6823_4#7,Encapsulated,Non-susceptible
6753_3#13,Encapsulated,Susceptible
6899_5#8,Encapsulated,Non-susceptible
6731_2#15,Encapsulated,Susceptible
6631_3#15,Encapsulated,Non-susceptible
6983_7#66,Encapsulated,Non-susceptible
6736_5#23,Encapsulated,Susceptible
6630_1#9,Encapsulated,Susceptible
6664_1#15,Encapsulated,Non-susceptible
6925_8#17,Encapsulated,Susceptible
6972_5#21,Encapsulated,Non-susceptible
7004_5#16,Encapsulated,Susceptible
6925_7#1,Encapsulated,Susceptible
6841_7#1,Encapsulated,Susceptible
6899_6#17,Encapsulated,Susceptible
6630_1#13,Unencapsulated,Non-susceptible
6983_5#23,Encapsulated,Non-susceptible
6730_7#7,Unencapsulated,Non-susceptible
6755_4#23,Encapsulated,Non-susceptible
6755_3#5,Encapsulated,Susceptible
6673_8#10,Encapsulated,Susceptible
6631_7#8,Encapsulated,Susceptible
6730_4#6,Encapsulated,Susceptible
6983_7#55,Encapsulated,Susceptible
6925_6#6,Encapsulated,Non-susceptible
6983_4#89,Encapsulated,Non-susceptible
7068_4#5,Encapsulated,Non-susceptible
7054_5#13,Encapsulated,Susceptible
6730_6#23,Unencapsulated,Non-susceptible
6807_1#1,Encapsulated,Non-susceptible
6731_4#2,Encapsulated,Non-susceptible
6731_2#7,Encapsulated,Non-susceptible
6631_7#14,Encapsulated,Unknown
6871_2#14,Encapsulated,Non-susceptible
6710_7#21,Encapsulated,Susceptible
7054_5#21,Encapsulated,Non-susceptible
6710_7#16,Encapsulated,Susceptible
6730_8#21,Encapsulated,Susceptible
6972_3#6,Encapsulated,Susceptible
6731_2#18,Encapsulated,Non-susceptible
6714_8#1,Encapsulated,Susceptible
6823_6#24,Encapsulated,Non-susceptible
6631_2#24,Encapsulated,Non-susceptible
7004_8#77,Encapsulated,Susceptible
6680_8#2,Encapsulated,Non-susceptible
6673_8#20,Encapsulated,Non-susceptible
6983_8#91,Unencapsulated,Non-susceptible
7011_3#22,Encapsulated,Susceptible
6925_3#23,Encapsulated,Non-susceptible
6823_5#3,Encapsulated,Non-susceptible
6972_2#13,Encapsulated,Susceptible
6805_7#21,Encapsulated,Susceptible
6823_1#10,Encapsulated,Non-susceptible
6730_4#22,Encapsulated,Non-susceptible
6823_7#21,Encapsulated,Non-susceptible
6630_3#13,Encapsulated,Susceptible
6840_1#11,Encapsulated,Non-susceptible
6949_4#20,Encapsulated,Non-susceptible
6823_7#24,Unencapsulated,Non-susceptible
7011_3#24,Encapsulated,Non-susceptible
6714_7#13,Encapsulated,Non-susceptible
6805_5#22,Encapsulated,Susceptible
6259_6#20,Encapsulated,Non-susceptible
6710_6#14,Encapsulated,Non-susceptible
6925_6#20,Encapsulated,Susceptible
6736_5#17,Encapsulated,Susceptible
6823_5#5,Encapsulated,Non-susceptible
6899_4#17,Encapsulated,Susceptible
6641_6#15,Unencapsulated,Non-susceptible
6805_5#13,Encapsulated,Susceptible
6983_7#61,Encapsulated,Susceptible
6736_6#13,Encapsulated,Susceptible
6731_1#1,Encapsulated,Non-susceptible
6938_8#16,Encapsulated,Susceptible
6730_7#23,Encapsulated,Susceptible
6823_1#21,Encapsulated,Susceptible
6823_6#10,Unencapsulated,Non-susceptible
6899_7#18,Encapsulated,Susceptible
6840_3#10,Encapsulated,Non-susceptible
6983_2#23,Encapsulated,Susceptible
6775_2#22,Encapsulated,Susceptible
7011_6#2,Unencapsulated,Non-susceptible
6731_2#19,Unencapsulated,Non-susceptible
6714_7#5,Encapsulated,Susceptible
6630_3#3,Encapsulated,Non-susceptible
6736_7#3,Encapsulated,Susceptible
6631_6#4,Encapsulated,Non-susceptible
6710_6#15,Encapsulated,Susceptible
6259_6#6,Encapsulated,Non-susceptible
6630_3#23,Unencapsulated,Susceptible
6259_8#24,Encapsulated,Susceptible
6710_6#20,Encapsulated,Non-susceptible
6753_4#4,Unencapsulated,Non-susceptible
6807_1#18,Encapsulated,Non-susceptible
6925_7#4,Unencapsulated,Non-susceptible
6259_5#7,Encapsulated,Susceptible
7054_4#5,Encapsulated,Non-susceptible
6899_5#11,Encapsulated,Susceptible
6807_3#13,Encapsulated,Susceptible
6680_6#13,Encapsulated,Non-susceptible
6736_8#14,Encapsulated,Non-susceptible
6938_7#7,Encapsulated,Susceptible
6730_4#9,Encapsulated,Susceptible
6925_7#13,Encapsulated,Susceptible
6983_2#10,Encapsulated,Non-susceptible
6983_7#57,Encapsulated,Susceptible
6972_5#19,Encapsulated,Non-susceptible
6972_3#10,Encapsulated,Non-susceptible
6731_4#8,Encapsulated,Non-susceptible
6983_6#36,Unencapsulated,Non-susceptible
6983_6#33,Unencapsulated,Non-susceptible
6972_2#3,Encapsulated,Susceptible
6823_1#14,Encapsulated,Susceptible
6736_4#24,Encapsulated,Susceptible
6949_3#17,Encapsulated,Non-susceptible
6680_6#23,Encapsulated,Susceptible
6630_1#21,Encapsulated,Susceptible
6805_4#20,Unencapsulated,Non-susceptible
7054_4#9,Unencapsulated,Non-susceptible
7038_5#22,Encapsulated,Non-susceptible
6775_1#9,Encapsulated,Non-susceptible
7004_6#27,Encapsulated,Susceptible
6730_3#1,Encapsulated,Non-susceptible
7011_3#23,Unencapsulated,Non-susceptible
6925_7#6,Encapsulated,Susceptible
6714_7#8,Encapsulated,Susceptible
6949_1#3,Encapsulated,Susceptible
6899_4#7,Unencapsulated,Susceptible
6925_6#15,Unencapsulated,Susceptible
6899_7#23,Encapsulated,Susceptible
6730_8#17,Unencapsulated,Non-susceptible
6938_3#29,Encapsulated,Susceptible
6710_7#4,Encapsulated,Non-susceptible
7068_4#18,Unencapsulated,Non-susceptible
6731_4#12,Encapsulated,Susceptible
6730_7#12,Encapsulated,Susceptible
7054_5#14,Encapsulated,Non-susceptible
7038_6#12,Unencapsulated,Non-susceptible
6631_5#4,Encapsulated,Susceptible
6631_4#24,Encapsulated,Susceptible
6841_7#4,Encapsulated,Non-susceptible
7011_6#22,Encapsulated,Non-susceptible
6714_8#22,Encapsulated,Non-susceptible
6755_4#10,Encapsulated,Non-susceptible
6983_8#95,Encapsulated,Susceptible
6899_7#22,Encapsulated,Non-susceptible
7011_4#13,Unencapsulated,Non-susceptible
6805_3#24,Encapsulated,Susceptible
7038_6#13,Encapsulated,Susceptible
6983_5#3,Encapsulated,Susceptible
6755_6#15,Encapsulated,Non-susceptible
6840_3#18,Encapsulated,Susceptible
6823_5#11,Encapsulated,Susceptible
7011_5#21,Encapsulated,Non-susceptible
6631_3#10,Encapsulated,Susceptible
6823_4#17,Unencapsulated,Non-susceptible
6983_4#86,Encapsulated,Non-susceptible
6983_2#9,Encapsulated,Non-susceptible
6949_3#22,Encapsulated,Non-susceptible
6631_7#13,Encapsulated,Unknown
6631_7#16,Unencapsulated,Unknown
6925_4#24,Encapsulated,Susceptible
6949_3#13,Encapsulated,Susceptible
6983_7#53,Encapsulated,Susceptible
7038_6#15,Unencapsulated,Non-susceptible
6631_6#18,Encapsulated,Susceptible
6753_4#24,Encapsulated,Non-susceptible
6949_2#22,Encapsulated,Susceptible
6899_5#22,Encapsulated,Susceptible
6736_4#7,Encapsulated,Susceptible
6805_5#12,Encapsulated,Susceptible
7004_8#79,Encapsulated,Susceptible
6631_1#19,Encapsulated,Non-susceptible
6823_6#6,Encapsulated,Non-susceptible
6871_2#3,Encapsulated,Susceptible
6649_8#23,Unencapsulated,Susceptible
6949_4#4,Encapsulated,Susceptible
6631_7#11,Encapsulated,Susceptible
6949_1#16,Encapsulated,Susceptible
6649_8#11,Unencapsulated,Non-susceptible
6736_7#12,Encapsulated,Non-susceptible
6972_4#11,Encapsulated,Susceptible
6641_6#11,Encapsulated,Susceptible
6593_5#16,Unencapsulated,Non-susceptible
6938_6#17,Unencapsulated,Non-susceptible
6972_4#23,Encapsulated,Non-susceptible
6925_5#11,Unencapsulated,Non-susceptible
6730_7#3,Encapsulated,Non-susceptible
6736_8#11,Encapsulated,Susceptible
6925_3#22,Encapsulated,Non-susceptible
6673_8#15,Encapsulated,Susceptible
6664_1#24,Encapsulated,Susceptible
6938_5#10,Encapsulated,Non-susceptible
6630_2#4,Encapsulated,Susceptible
6680_8#14,Encapsulated,Susceptible
6641_6#8,Unencapsulated,Susceptible
6630_1#1,Encapsulated,Susceptible
6753_1#22,Encapsulated,Susceptible
6972_4#20,Encapsulated,Non-susceptible
6871_1#19,Encapsulated,Susceptible
6753_4#6,Encapsulated,Susceptible
6649_7#1,Encapsulated,Unknown
6631_7#23,Encapsulated,Unknown
6755_3#16,Unencapsulated,Non-susceptible
6899_4#19,Encapsulated,Susceptible
6730_7#9,Encapsulated,Non-susceptible
6664_1#4,Unencapsulated,Non-susceptible
6753_1#24,Unencapsulated,Non-susceptible
7011_6#23,Encapsulated,Susceptible
7038_7#6,Encapsulated,Susceptible
6871_2#4,Unencapsulated,Susceptible
6730_8#10,Encapsulated,Susceptible
7011_5#13,Encapsulated,Susceptible
6730_4#21,Encapsulated,Non-susceptible
6823_3#20,Encapsulated,Susceptible
7011_3#6,Encapsulated,Non-susceptible
6983_3#60,Encapsulated,Susceptible
6823_3#13,Encapsulated,Non-susceptible
6830_3#14,Encapsulated,Susceptible
7068_4#12,Encapsulated,Susceptible
6710_8#12,Encapsulated,Non-susceptible
6925_4#16,Encapsulated,Non-susceptible
6938_6#3,Encapsulated,Susceptible
6649_8#18,Encapsulated,Susceptible
6736_8#10,Encapsulated,Non-susceptible
6972_3#19,Encapsulated,Non-susceptible
6755_3#13,Encapsulated,Non-susceptible
6630_3#21,Encapsulated,Susceptible
7004_7#64,Encapsulated,Susceptible
6949_3#19,Encapsulated,Susceptible
6710_8#24,Encapsulated,Susceptible
6938_7#5,Unencapsulated,Non-susceptible
6630_3#4,Encapsulated,Susceptible
6714_7#3,Unencapsulated,Non-susceptible
6593_4#24,Encapsulated,Susceptible
6807_3#17,Encapsulated,Susceptible
6823_3#18,Encapsulated,Non-susceptible
7038_6#11,Encapsulated,Susceptible
6755_4#16,Encapsulated,Non-susceptible
6680_7#13,Encapsulated,Susceptible
6823_1#9,Encapsulated,Susceptible
6925_4#10,Encapsulated,Non-susceptible
6736_7#11,Encapsulated,Susceptible
7092_6#13,Encapsulated,Non-susceptible
6938_6#21,Encapsulated,Susceptible
6823_7#3,Encapsulated,Susceptible
6755_2#18,Encapsulated,Susceptible
6730_8#24,Encapsulated,Susceptible
6983_3#62,Encapsulated,Susceptible
6925_7#21,Encapsulated,Susceptible
6680_7#14,Unencapsulated,Non-susceptible
6755_4#5,Encapsulated,Non-susceptible
6925_3#8,Encapsulated,Non-susceptible
6593_5#6,Unencapsulated,Non-susceptible
6730_8#2,Encapsulated,Susceptible
6631_7#22,Encapsulated,Unknown
6755_6#17,Encapsulated,Susceptible
6972_4#17,Encapsulated,Susceptible
6755_3#23,Encapsulated,Non-susceptible
6755_1#7,Encapsulated,Susceptible
6736_6#7,Encapsulated,Susceptible
6673_8#4,Encapsulated,Non-susceptible
6730_5#15,Encapsulated,Non-susceptible
6710_6#24,Encapsulated,Non-susceptible
6841_7#10,Encapsulated,Susceptible
6983_4#77,Encapsulated,Non-susceptible
6755_2#1,Encapsulated,Susceptible
6938_7#3,Encapsulated,Non-susceptible
6840_3#22,Encapsulated,Susceptible
6805_2#23,Encapsulated,Non-susceptible
6259_5#19,Encapsulated,Susceptible
6259_7#24,Unencapsulated,Non-susceptible
6680_7#1,Encapsulated,Non-susceptible
6753_2#9,Encapsulated,Susceptible
6899_6#4,Encapsulated,Non-susceptible
6673_8#24,Unencapsulated,Non-susceptible
6736_6#22,Unencapsulated,Non-susceptible
6259_7#6,Encapsulated,Non-susceptible
6775_2#21,Encapsulated,Non-susceptible
6736_5#6,Encapsulated,Non-susceptible
6823_2#1,Encapsulated,Non-susceptible
6753_1#21,Encapsulated,Susceptible
6983_8#75,Encapsulated,Susceptible
6730_6#7,Encapsulated,Non-susceptible
6673_8#22,Encapsulated,Susceptible
7011_6#8,Encapsulated,Non-susceptible
6736_8#18,Encapsulated,Susceptible
6631_6#23,Encapsulated,Non-susceptible
6631_5#7,Encapsulated,Susceptible
6641_6#22,Encapsulated,Susceptible
6949_4#9,Unencapsulated,Non-susceptible
6593_5#19,Encapsulated,Susceptible
6805_6#24,Encapsulated,Susceptible
7038_5#12,Encapsulated,Susceptible
6983_2#18,Encapsulated,Susceptible
6664_1#18,Encapsulated,Susceptible
6673_8#21,Unencapsulated,Non-susceptible
7004_6#44,Encapsulated,Non-susceptible
6805_3#16,Encapsulated,Susceptible
6649_8#20,Encapsulated,Susceptible
6938_8#21,Encapsulated,Non-susceptible
6925_3#3,Encapsulated,Susceptible
6823_6#4,Encapsulated,Non-susceptible
6631_2#11,Unencapsulated,Non-susceptible
6925_5#1,Encapsulated,Non-susceptible
6805_3#2,Encapsulated,Susceptible
6938_6#5,Encapsulated,Non-susceptible
6593_4#9,Encapsulated,Non-susceptible
6630_3#5,Encapsulated,Susceptible
7011_6#5,Encapsulated,Susceptible
6755_4#15,Encapsulated,Susceptible
7038_5#1,Encapsulated,Non-susceptible
7011_4#24,Encapsulated,Susceptible
6753_2#4,Encapsulated,Non-susceptible
6753_3#6,Encapsulated,Non-susceptible
7054_6#15,Encapsulated,Non-susceptible
6630_2#11,Encapsulated,Susceptible
6714_8#18,Encapsulated,Non-susceptible
7011_3#8,Unencapsulated,Non-susceptible
6631_1#24,Unencapsulated,Susceptible
6730_4#8,Encapsulated,Susceptible
6840_3#21,Unencapsulated,Susceptible
6925_7#12,Encapsulated,Susceptible
6680_7#11,Encapsulated,Susceptible
6710_7#1,Encapsulated,Non-susceptible
6805_4#12,Unencapsulated,Non-susceptible
6649_7#7,Encapsulated,Susceptible
6630_2#24,Encapsulated,Susceptible
6259_7#13,Encapsulated,Susceptible
6949_4#12,Encapsulated,Non-susceptible
6630_3#10,Encapsulated,Susceptible
6755_6#16,Encapsulated,Susceptible
6731_6#1,Encapsulated,Susceptible
6753_1#5,Unencapsulated,Non-susceptible
6899_7#4,Encapsulated,Non-susceptible
6593_5#11,Encapsulated,Non-susceptible
6631_2#23,Encapsulated,Susceptible
6731_6#10,Unencapsulated,Non-susceptible
6649_7#22,Unencapsulated,Non-susceptible
6805_2#20,Encapsulated,Non-susceptible
6899_6#24,Encapsulated,Non-susceptible
6899_6#23,Encapsulated,Susceptible
6631_7#18,Encapsulated,Unknown
6949_4#13,Encapsulated,Susceptible
6938_7#24,Encapsulated,Non-susceptible
6871_2#20,Encapsulated,Susceptible
6680_6#24,Encapsulated,Non-susceptible
6925_5#18,Encapsulated,Susceptible
7038_7#4,Encapsulated,Susceptible
6736_4#21,Encapsulated,Susceptible
7011_3#5,Encapsulated,Susceptible
6680_7#10,Unencapsulated,Non-susceptible
6949_1#5,Encapsulated,Susceptible
6805_2#15,Encapsulated,Susceptible
6972_3#4,Encapsulated,Susceptible
6631_2#12,Unencapsulated,Susceptible
6630_2#5,Encapsulated,Susceptible
7004_8#85,Encapsulated,Susceptible
6649_8#8,Encapsulated,Non-susceptible
6730_1#19,Unencapsulated,Non-susceptible
6972_5#6,Encapsulated,Non-susceptible
6755_1#14,Unencapsulated,Non-susceptible
6631_7#9,Encapsulated,Susceptible
6631_3#9,Unencapsulated,Susceptible
6631_4#14,Encapsulated,Non-susceptible
6631_3#14,Encapsulated,Susceptible
6823_4#11,Encapsulated,Susceptible
6710_7#12,Encapsulated,Susceptible
7054_6#21,Encapsulated,Non-susceptible
6805_4#13,Encapsulated,Non-susceptible
6259_5#22,Unencapsulated,Non-susceptible
6805_6#17,Encapsulated,Non-susceptible
6259_7#14,Encapsulated,Non-susceptible
6630_1#5,Encapsulated,Susceptible
6631_6#16,Encapsulated,Non-susceptible
6736_4#3,Encapsulated,Susceptible
6899_4#14,Encapsulated,Susceptible
6736_4#12,Encapsulated,Susceptible
6805_4#23,Unencapsulated,Non-susceptible
6972_3#13,Encapsulated,Non-susceptible
6871_2#13,Encapsulated,Non-susceptible
6631_1#13,Encapsulated,Susceptible
6805_5#7,Encapsulated,Non-susceptible
6899_6#21,Encapsulated,Non-susceptible
7054_6#24,Encapsulated,Susceptible
6899_7#2,Encapsulated,Susceptible
6823_3#10,Encapsulated,Susceptible
6938_7#9,Encapsulated,Non-susceptible
7011_4#16,Encapsulated,Non-susceptible
6753_2#5,Encapsulated,Susceptible
7004_5#12,Encapsulated,Susceptible
6631_4#1,Encapsulated,Susceptible
6630_2#6,Encapsulated,Susceptible
6730_6#21,Encapsulated,Susceptible
6736_7#17,Encapsulated,Susceptible
6631_1#18,Encapsulated,Susceptible
6731_3#10,Encapsulated,Susceptible
7038_8#25,Encapsulated,Susceptible
6736_6#21,Unencapsulated,Non-susceptible
7054_6#2,Unencapsulated,Non-susceptible
6805_3#3,Encapsulated,Susceptible
7011_3#19,Encapsulated,Susceptible
6259_6#2,Encapsulated,Non-susceptible
6755_3#4,Encapsulated,Non-susceptible
7054_5#16,Unencapsulated,Non-susceptible
6631_4#8,Encapsulated,Susceptible
6805_6#5,Encapsulated,Susceptible
7038_7#1,Encapsulated,Susceptible
6649_8#2,Encapsulated,Non-susceptible
6983_7#68,Encapsulated,Non-susceptible
6823_2#21,Encapsulated,Susceptible
6807_2#11,Encapsulated,Susceptible
6840_3#6,Encapsulated,Non-susceptible
6805_2#3,Encapsulated,Susceptible
6680_5#2,Unencapsulated,Susceptible
6680_6#8,Encapsulated,Non-susceptible
6807_1#7,Encapsulated,Susceptible
6730_8#11,Encapsulated,Non-susceptible
7004_6#35,Encapsulated,Susceptible
6259_8#4,Encapsulated,Non-susceptible
6805_4#3,Encapsulated,Susceptible
6823_5#10,Encapsulated,Non-susceptible
6775_2#11,Encapsulated,Non-susceptible
7004_6#32,Encapsulated,Susceptible
7004_8#81,Encapsulated,Non-susceptible
6899_7#9,Encapsulated,Non-susceptible
7054_5#10,Encapsulated,Non-susceptible
6730_6#3,Unencapsulated,Non-susceptible
6925_4#14,Encapsulated,Susceptible
6753_2#11,Encapsulated,Susceptible
6755_2#4,Encapsulated,Susceptible
6731_4#18,Encapsulated,Non-susceptible
7038_5#13,Encapsulated,Non-susceptible
6730_4#19,Encapsulated,Non-susceptible
6755_5#3,Unencapsulated,Non-susceptible
6259_6#8,Encapsulated,Susceptible
6731_5#9,Encapsulated,Non-susceptible
6714_8#5,Encapsulated,Susceptible
6710_8#14,Encapsulated,Susceptible
7011_6#12,Encapsulated,Non-susceptible
6736_8#2,Encapsulated,Non-susceptible
6983_8#87,Encapsulated,Susceptible
6983_6#29,Encapsulated,Susceptible
6710_8#16,Encapsulated,Non-susceptible
6259_5#5,Unencapsulated,Susceptible
6736_7#22,Encapsulated,Non-susceptible
6730_6#13,Encapsulated,Susceptible
7038_5#14,Encapsulated,Susceptible
6949_1#22,Encapsulated,Non-susceptible
6630_2#22,Encapsulated,Susceptible
6680_6#16,Unencapsulated,Non-susceptible
6631_4#23,Encapsulated,Susceptible
6841_7#15,Unencapsulated,Non-susceptible
6731_2#5,Encapsulated,Susceptible
6736_5#22,Encapsulated,Susceptible
6805_3#4,Encapsulated,Susceptible
6714_7#9,Encapsulated,Non-susceptible
6807_3#18,Unencapsulated,Non-susceptible
6631_7#3,Encapsulated,Non-susceptible
6631_4#16,Encapsulated,Susceptible
6823_4#24,Encapsulated,Susceptible
6259_5#9,Unencapsulated,Non-susceptible
6753_2#21,Encapsulated,Susceptible
6807_1#6,Encapsulated,Susceptible
7038_8#35,Encapsulated,Susceptible
6925_7#14,Encapsulated,Non-susceptible
6807_1#2,Unencapsulated,Susceptible
6631_5#16,Encapsulated,Non-susceptible
6631_5#15,Encapsulated,Non-susceptible
7054_5#23,Unencapsulated,Susceptible
6731_3#7,Encapsulated,Non-susceptible
6631_3#24,Encapsulated,Susceptible
6949_4#8,Encapsulated,Susceptible
7054_5#19,Encapsulated,Susceptible
6736_7#9,Encapsulated,Non-susceptible
6714_8#17,Unencapsulated,Non-susceptible
7054_6#4,Encapsulated,Non-susceptible
6710_6#22,Encapsulated,Susceptible
6680_4#18,Unencapsulated,Non-susceptible
6631_7#24,Encapsulated,Unknown
6259_8#9,Unencapsulated,Non-susceptible
6983_6#45,Encapsulated,Susceptible
6972_3#14,Encapsulated,Non-susceptible
6680_4#6,Encapsulated,Susceptible
6841_7#14,Encapsulated,Susceptible
6830_3#17,Unencapsulated,Non-susceptible
6938_6#14,Encapsulated,Non-susceptible
6731_4#4,Encapsulated,Non-susceptible
6823_7#22,Unencapsulated,Non-susceptible
6807_2#16,Encapsulated,Non-susceptible
6823_3#15,Encapsulated,Susceptible
7004_8#87,Encapsulated,Susceptible
6949_1#19,Encapsulated,Susceptible
6731_1#2,Encapsulated,Non-susceptible
7004_5#4,Encapsulated,Susceptible
6649_7#6,Encapsulated,Susceptible
6805_6#13,Encapsulated,Susceptible
6938_5#21,Encapsulated,Susceptible
6680_8#22,Encapsulated,Susceptible
6805_7#16,Encapsulated,Non-susceptible
6983_6#28,Encapsulated,Susceptible
6775_1#24,Encapsulated,Non-susceptible
6899_4#16,Unencapsulated,Non-susceptible
6593_4#7,Encapsulated,Non-susceptible
6730_4#16,Encapsulated,Susceptible
6731_2#12,Unencapsulated,Non-susceptible
6938_5#12,Encapsulated,Non-susceptible
6631_6#6,Encapsulated,Non-susceptible
6680_4#22,Encapsulated,Non-susceptible
6755_6#7,Encapsulated,Susceptible
6630_2#14,Encapsulated,Susceptible
6925_5#14,Encapsulated,Susceptible
6593_4#1,Encapsulated,Susceptible
7011_5#1,Unencapsulated,Susceptible
6593_4#2,Encapsulated,Susceptible
6593_4#16,Encapsulated,Susceptible
6710_6#12,Encapsulated,Non-susceptible
6983_4#79,Encapsulated,Susceptible
6841_7#11,Encapsulated,Susceptible
6736_5#7,Encapsulated,Susceptible
6840_1#3,Encapsulated,Non-susceptible
6823_5#6,Encapsulated,Non-susceptible
6983_8#80,Encapsulated,Non-susceptible
6823_5#20,Encapsulated,Susceptible
6755_1#11,Encapsulated,Susceptible
6938_5#1,Encapsulated,Susceptible
7054_4#6,Encapsulated,Non-susceptible
6630_4#6,Encapsulated,Susceptible
6899_7#21,Encapsulated,Non-susceptible
6807_2#15,Unencapsulated,Non-susceptible
7038_4#12,Encapsulated,Susceptible
6641_6#24,Encapsulated,Non-susceptible
6972_3#8,Unencapsulated,Susceptible
6755_2#11,Encapsulated,Non-susceptible
6714_8#20,Encapsulated,Susceptible
6830_3#23,Encapsulated,Susceptible
6755_5#17,Encapsulated,Non-susceptible
6753_4#10,Encapsulated,Non-susceptible
6983_8#92,Unencapsulated,Non-susceptible
6753_1#9,Encapsulated,Non-susceptible
6259_8#3,Encapsulated,Susceptible
6755_1#1,Encapsulated,Susceptible
6925_8#9,Encapsulated,Susceptible
6938_5#24,Encapsulated,Susceptible
7004_7#60,Encapsulated,Susceptible
7054_4#4,Encapsulated,Susceptible
6871_1#17,Encapsulated,Non-susceptible
6680_5#22,Encapsulated,Non-susceptible
6983_5#7,Encapsulated,Susceptible
6731_4#11,Encapsulated,Non-susceptible
6730_4#13,Encapsulated,Susceptible
6753_3#4,Encapsulated,Susceptible
6259_8#8,Encapsulated,Susceptible
6949_1#24,Unencapsulated,Non-susceptible
6731_3#21,Encapsulated,Susceptible
6823_1#22,Encapsulated,Susceptible
6631_1#15,Encapsulated,Susceptible
7011_4#22,Encapsulated,Non-susceptible
6259_7#17,Encapsulated,Non-susceptible
6755_6#20,Encapsulated,Susceptible
6899_6#13,Encapsulated,Susceptible
6871_1#10,Encapsulated,Non-susceptible
6730_6#5,Encapsulated,Non-susceptible
6983_8#83,Encapsulated,Susceptible
6649_7#20,Encapsulated,Susceptible
6805_3#18,Encapsulated,Non-susceptible
6972_4#13,Encapsulated,Susceptible
6730_7#11,Encapsulated,Non-susceptible
6731_2#13,Encapsulated,Non-susceptible
6730_5#22,Encapsulated,Susceptible
6631_5#22,Encapsulated,Non-susceptible
6807_2#10,Encapsulated,Non-susceptible
6841_7#13,Encapsulated,Susceptible
6949_2#7,Encapsulated,Non-susceptible
6899_7#14,Encapsulated,Non-susceptible
6823_5#22,Encapsulated,Non-susceptible
6731_5#7,Encapsulated,Non-susceptible
6630_1#4,Unencapsulated,Non-susceptible
6807_1#22,Encapsulated,Non-susceptible
6649_7#13,Encapsulated,Susceptible
