Isolate,Encapsulation,Resistance
6731_1#9,Encapsulated,Non-susceptible
6680_6#19,Encapsulated,Susceptible
7054_4#8,Unencapsulated,Non-susceptible
6664_1#1,Encapsulated,Susceptible
6972_5#18,Encapsulated,Susceptible
6631_2#13,Encapsulated,Susceptible
6949_1#4,Encapsulated,Non-susceptible
6805_6#3,Encapsulated,Non-susceptible
7038_4#7,Encapsulated,Non-susceptible
6259_8#7,Encapsulated,Non-susceptible
6840_1#1,Encapsulated,Non-susceptible
6680_8#8,Encapsulated,Susceptible
6972_5#7,Encapsulated,Susceptible
6631_7#2,Encapsulated,Susceptible
6630_3#12,Unencapsulated,Non-susceptible
6805_6#8,Encapsulated,Susceptible
6823_4#1,Encapsulated,Susceptible
6259_8#2,Encapsulated,Non-susceptible
6736_8#24,Encapsulated,Non-susceptible
6730_8#9,Encapsulated,Non-susceptible
6840_1#15,Encapsulated,Non-susceptible
6871_1#20,Unencapsulated,Non-susceptible
6731_3#1,Encapsulated,Susceptible
6680_4#9,Encapsulated,Susceptible
7011_3#11,Encapsulated,Susceptible
6755_4#13,Encapsulated,Susceptible
7004_8#82,Encapsulated,Susceptible
6972_2#22,Unencapsulated,Susceptible
6775_1#21,Encapsulated,Non-susceptible
6805_7#15,Encapsulated,Susceptible
6949_4#14,Encapsulated,Susceptible
7068_4#8,Encapsulated,Non-susceptible
6664_1#17,Encapsulated,Non-susceptible
6755_3#14,Unencapsulated,Non-susceptible
6938_7#18,Encapsulated,Non-susceptible
6972_2#21,Encapsulated,Susceptible
6972_2#19,Encapsulated,Non-susceptible
6593_5#2,Encapsulated,Non-susceptible
6755_2#24,Encapsulated,Non-susceptible
7011_4#12,Encapsulated,Susceptible
6925_5#16,Encapsulated,Susceptible
6731_2#23,Encapsulated,Susceptible
6730_5#12,Encapsulated,Susceptible
6755_2#20,Encapsulated,Susceptible
6259_7#5,Encapsulated,Susceptible
6631_6#22,Encapsulated,Susceptible
6731_2#2,Encapsulated,Non-susceptible
6259_7#23,Unencapsulated,Non-susceptible
6649_8#4,Encapsulated,Non-susceptible
6680_7#9,Encapsulated,Non-susceptible
6753_3#22,Encapsulated,Susceptible
7004_8#88,Encapsulated,Susceptible
6631_6#3,Encapsulated,Susceptible
6753_4#16,Encapsulated,Susceptible
6753_1#15,Encapsulated,Susceptible
6899_6#8,Encapsulated,Susceptible
6631_5#1,Encapsulated,Susceptible
6680_5#1,Unencapsulated,Non-susceptible
6736_6#9,Unencapsulated,Non-susceptible
7011_6#24,Encapsulated,Susceptible
6823_2#14,Encapsulated,Susceptible
6736_8#23,Encapsulated,Susceptible
6983_3#49,Encapsulated,Non-susceptible
7011_3#12,Encapsulated,Non-susceptible
6938_7#19,Encapsulated,Susceptible
6593_5#13,Encapsulated,Susceptible
6259_5#12,Unencapsulated,Susceptible
6830_3#4,Encapsulated,Susceptible
6983_4#93,Encapsulated,Susceptible
6755_6#23,Encapsulated,Susceptible
6755_2#22,Encapsulated,Susceptible
6807_1#12,Encapsulated,Susceptible
6259_8#21,Encapsulated,Non-susceptible
6805_4#2,Encapsulated,Non-susceptible
6630_1#18,Encapsulated,Susceptible
6972_3#23,Encapsulated,Susceptible
6807_2#18,Unencapsulated,Non-susceptible
7011_3#13,Unencapsulated,Non-susceptible
6649_7#24,Encapsulated,Non-susceptible
6731_5#3,Encapsulated,Non-susceptible
